x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,y
2253.538417,1679.307325,12.700000,12.700000,22.225000,3584.670395,0.000000,-0.000000,-0.000000,0.006434,-0.001448,-0.073249,96.000000,150.000000,58.000000,1.000000,0.571429,1.750000,0.628660,2.313717,0.640000,2.586207,0.604167,0.000000
6718.609921,3560.803379,23.173645,22.093835,46.037500,23570.955939,-0.000000,1.107595,1.107595,0.001246,-0.002150,5.566853,122.000000,184.000000,65.000000,1.048874,0.479910,1.986632,0.285038,1.371652,0.663043,2.830769,0.532787,0.000000
2523.280519,2233.896453,18.244520,18.244520,48.920400,16283.767928,0.000000,0.000000,0.000000,-0.000505,0.000312,-14.938341,186.000000,286.000000,105.000000,1.000000,0.372943,2.681375,0.154957,1.054759,0.650350,2.723810,0.564516,0.000000
12296.932836,7368.758340,22.225000,22.225000,108.331000,53510.165256,0.000000,-0.000000,-0.000000,-1.493089,-0.003938,3.930792,256.000000,395.000000,143.000000,1.000000,0.205158,4.874286,0.229806,1.387906,0.648101,2.762238,0.558594,0.000000
40469.358650,15021.041527,28.575000,28.575000,139.700000,114069.330073,0.000000,-0.000000,-0.000000,-1.487234,-0.891287,11.258198,247.000000,373.000000,132.000000,1.000000,0.204545,4.888889,0.354779,1.706862,0.662198,2.825758,0.534413,0.000000
2633.280419,2050.738563,11.906250,11.906250,52.387500,7426.388590,0.000000,0.000000,0.000000,-0.000309,0.003505,4.188616,120.000000,189.000000,73.000000,1.000000,0.227273,4.400000,0.354584,1.476163,0.634921,2.589041,0.608333,0.000000
8.336105,49.509020,1.524000,1.524000,6.350000,14.748362,-0.000000,0.000000,0.000000,-0.000157,0.001130,-0.104621,113.000000,171.000000,62.000000,1.000000,0.240000,4.166666,0.565222,2.283902,0.660819,2.758065,0.548673,0.000000
1965.388077,1388.332487,11.112500,11.112500,42.068750,5194.971551,0.000000,0.000000,0.000000,-0.000333,0.001711,4.106620,603.000000,957.000000,359.000000,1.000000,0.264151,3.785714,0.378325,1.311646,0.630094,2.665738,0.595357,0.000000
1251.076792,1155.620565,9.525000,9.525000,36.115625,3276.612806,-0.000000,-0.000000,-0.000000,0.001564,-0.000500,4.182661,85.000000,130.000000,48.000000,1.000000,0.263736,3.791667,0.381820,1.483984,0.653846,2.708333,0.564706,0.000000
1047.302385,1234.652387,12.700000,12.700000,36.512500,5889.101343,-0.000000,-0.000000,-0.000000,0.001545,-0.003625,10.229896,942.000000,1706.000000,767.000000,1.000000,0.347826,2.875000,0.177837,1.134053,0.552169,2.224250,0.814225,0.000000
28.996019,93.693389,4.241800,4.241800,9.418504,169.465905,0.000000,0.000000,0.000000,-0.000535,0.002318,-1.493198,168.000000,252.000000,87.000000,1.000000,0.450369,2.220403,0.171102,0.957074,0.666667,2.896552,0.517857,0.000000
1635.093980,1353.018567,15.875000,15.875000,26.987500,6801.271901,0.000000,0.000000,0.000000,-0.004114,0.002109,6.960201,146.000000,221.000000,78.000000,1.000000,0.588235,1.700000,0.240410,1.220179,0.660633,2.833333,0.534247,0.000000
15862.802680,6541.652037,21.431250,21.431250,90.487500,41560.770990,0.000000,-0.000000,-0.000000,0.002341,-0.000144,6.022817,765.000000,1152.000000,441.000000,1.000000,0.236842,4.222222,0.381677,1.508051,0.664062,2.612245,0.576471,0.000000
376.321873,729.538943,50.800000,9.017000,9.017000,4130.359489,0.000000,0.000000,0.000000,-3.351981,-0.001275,0.000847,210.000000,320.000000,114.000000,5.633803,1.000000,0.177500,0.091111,0.731416,0.656250,2.807018,0.542857,0.000000
85043.622243,15928.515857,44.450000,44.450000,111.125000,219561.055183,0.000000,0.000000,0.000000,-0.001894,-0.001543,12.378840,603.000000,954.000000,356.000000,1.000000,0.400000,2.500000,0.387335,1.343633,0.632075,2.679775,0.590381,0.000000
745.368086,1099.355416,76.200000,8.483600,8.483600,5484.225942,0.000000,0.000000,0.000000,-6.423831,-0.002876,-0.000605,232.000000,355.000000,127.000000,8.982036,1.000000,0.111333,0.135911,0.805464,0.653521,2.795276,0.547414,0.000000
82.355842,192.487268,12.179300,7.416800,7.416800,669.970172,-0.000000,0.000000,0.000000,3.348593,0.000000,0.000000,250.000000,437.000000,192.000000,1.642123,1.000000,0.608968,0.122925,0.816760,0.572082,2.276042,0.768000,0.000000
